1772 1.2161 1.8759 4.3903 6.4067 10.1065 16.0967 16.9065 16.0903 13.0000 11.7194 7.2033 4.7774
1773 4.0065 2.5643 6.5032 8.3067 10.3065 14.7000 15.9129 17.2065 12.3967 9.8968 5.3033 3.8129
1774 0.6226 4.3321 6.4323 8.6433 10.8548 14.6600 16.0548 16.0613 12.4567 10.2645 4.7500 3.4935
1775 4.5742 6.1393 5.9645 9.8467 12.5516 16.5533 16.7452 15.7581 14.2633 9.3452 4.7567 4.4613
1776 -1.5677 3.8207 6.4452 9.3633 10.8484 14.0533 16.3484 15.1516 12.8533 10.1548 6.1533 4.3871
1777 1.8645 2.3000 6.7581 7.1700 11.7484 13.5500 15.2581 15.9484 14.5600 10.1548 6.8567 2.6452
1778 1.8677 3.1643 4.5548 8.1700 10.5613 15.3567 17.3484 16.7581 12.1633 7.3581 6.6567 6.0677
1779 2.8581 7.8714 7.9484 9.3600 11.9484 14.3567 17.8581 17.5548 15.1567 10.8548 5.6533 3.0710
1780 -0.8839 2.0828 7.9484 6.2533 12.7645 14.1567 16.7581 17.5548 15.5567 9.0516 4.3567 3.2484
1781 2.0742 4.8464 6.5548 9.1500 12.0613 16.2467 17.3581 17.2581 14.1533 10.5645 6.4533 5.3516
1782 5.1613 1.8750 4.0677 5.1533 8.9548 14.8567 15.5645 14.1581 13.2633 7.5581 2.2700 2.7774
1783 3.3710 3.2643 3.2710 10.0533 10.3516 14.7567 18.8452 15.7548 12.7533 9.8452 6.2467 2.6903
1784 -0.5774 1.3828 2.6613 5.6567 13.5484 13.6500 15.1613 13.9613 14.7567 7.7516 5.4567 0.2903
1785 3.3613 0.3786 1.1871 8.3633 12.2516 16.0567 16.1452 13.8516 13.5567 8.7484 5.5533 2.7742
1786 2.6903 3.3643 2.0806 8.0500 11.1516 16.0667 15.0452 15.0548 11.6600 7.4613 3.2667 2.8000
1787 3.5645 5.9464 6.8452 7.3533 11.4516 13.8533 15.7581 15.5581 12.8467 9.7548 4.4667 3.7548
1788 3.9419 3.7586 3.5742 9.3533 13.7581 15.3500 15.7581 15.7581 13.4433 9.7645 6.0500 -0.2968
1789 1.5065 5.0464 2.0516 7.3567 12.4645 13.9600 15.3516 16.5548 13.0600 8.5516 4.5567 6.0581
1790 4.3258 6.6321 6.3613 6.0600 11.8581 14.5500 14.8548 15.5742 12.2400 10.2516 6.0533 4.2871
1791 4.2548 4.7357 6.4710 9.5500 10.5548 14.6567 15.3484 15.8516 13.7567 8.8645 5.8633 1.0935
1792 2.2806 4.4724 5.8677 9.9567 10.1581 13.1600 15.2645 16.8581 11.7533 8.7645 7.0500 4.3484
1793 2.8484 4.5893 4.2161 6.1533 10.8581 13.4667 17.5548 14.9548 11.6600 11.3452 5.9567 5.3000
1794 1.7548 7.1571 7.0000 10.1500 11.2613 15.6600 18.0548 15.4548 12.4567 9.5581 6.0567 3.6677
1795 -3.0710 0.8071 3.8613 7.6667 10.8516 13.1533 15.1516 16.5581 15.9567 11.6677 4.4700 6.6323
1796 7.2677 4.6724 4.1548 10.1533 10.2516 13.8600 14.6581 15.8516 14.5533 8.1452 4.5600 -0.2548
1797 3.4613 4.6464 4.3161 7.3500 11.2516 13.5667 17.2548 15.7581 12.4733 8.1516 4.6667 4.8226
1798 3.5871 3.9571 5.0871 10.3500 12.8548 16.8567 16.2645 16.3516 13.5600 9.8645 4.6600 1.5226
1799 1.6935 2.7679 3.3677 5.3567 9.5516 14.0500 15.1516 14.3581 12.8600 8.2613 5.5633 1.2871
1800 2.8194 2.2000 3.9774 9.3267 12.3000 13.9033 17.7032 16.8065 13.9133 9.2032 5.4067 3.2903
1801 4.5839 4.8000 6.7129 8.3067 12.1065 14.8000 16.1000 17.0968 14.2000 10.2065 4.8033 1.4613
1802 1.5871 3.7107 5.5774 8.9067 10.6097 13.7033 13.5129 17.2032 13.8000 10.1097 5.0933 3.5677
1803 1.8194 3.3929 6.3452 9.1067 10.5032 13.7033 17.6129 16.1032 11.3967 9.3097 5.0000 4.3645
1804 5.8226 2.9138 4.6613 6.8900 13.3032 16.0967 15.9065 15.6129 14.2000 10.7097 6.6067 2.0839
1805 2.0903 4.1143 6.2161 8.2900 10.1968 13.2000 16.0032 16.4065 14.6067 8.2129 4.7967 3.6000
1806 4.1839 4.3143 5.1000 6.8067 12.1065 14.9100 15.4032 16.2194 13.4100 10.6065 7.7967 6.8000
1807 2.7806 3.6857 2.9161 7.7033 11.8129 14.2033 17.1000 16.9129 10.5067 11.4097 2.9033 1.8903
1808 2.6097 2.8000 3.2387 5.7967 13.7129 14.8033 18.4097 16.7032 12.7100 7.2000 5.9933 2.2161
1809 2.0032 5.7143 6.0323 5.2000 13.0968 13.7100 15.1032 14.8161 12.6900 10.2000 4.6067 4.1129
1810 2.2065 3.5000 4.8839 8.1867 9.2226 14.6067 15.2161 14.6097 13.8867 9.8226 5.4033 3.5677
1811 1.2065 4.6000 7.0903 8.9067 12.7968 14.1100 16.0968 14.4129 13.7133 12.3129 7.7100 3.1355
1812 2.6258 5.2931 3.4903 5.5033 10.9032 13.0000 14.2484 14.3129 13.2033 9.3065 4.9000 1.7065
